subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
19,0.58,0.562,0.529,0.511,0.528,0.78,0.76,0.55,0.55,0.4699999999999999,0.495,0.49,0.5185,0.4965,0.4915,0.74,0.67,0.525,0.55,0.5
20,0.7100000000000001,0.6629999999999999,0.644,0.632,0.579,0.43,0.2799999999999999,0.79,0.72,0.82,0.675,0.514,0.5,0.5025,0.5,0.415,0.32,0.635,0.505,0.5599999999999999
21,0.5199999999999999,0.485,0.455,0.4429999999999999,0.436,0.74,0.71,0.57,0.48,0.43,0.53,0.503,0.4915,0.474,0.5045000000000001,0.64,0.62,0.505,0.4949999999999999,0.5
22,0.92,0.892,0.85,0.754,0.6579999999999999,0.63,0.5599999999999999,0.92,0.94,0.91,0.8699999999999999,0.654,0.6104999999999999,0.5455,0.5305,0.5349999999999999,0.625,0.725,0.525,0.525
23,0.58,0.562,0.574,0.592,0.6,0.6,0.8099999999999999,0.57,0.58,0.6,0.55,0.5055,0.515,0.5165,0.5395,0.5349999999999999,0.7150000000000001,0.485,0.575,0.525
24,0.63,0.631,0.58,0.597,0.5379999999999999,0.55,0.64,0.64,0.6199999999999999,0.51,0.62,0.5660000000000001,0.5115,0.5265,0.5,0.525,0.635,0.5599999999999999,0.5700000000000001,0.54
25,0.5800000000000001,0.491,0.436,0.447,0.423,0.7,0.82,0.43,0.4800000000000001,0.4600000000000001,0.45,0.492,0.4895,0.493,0.4935,0.595,0.6900000000000001,0.49,0.505,0.5
26,0.82,0.7509999999999999,0.69,0.66,0.6,0.6799999999999999,0.91,0.67,0.8,0.74,0.7300000000000001,0.5855,0.55,0.5095000000000001,0.493,0.62,0.8,0.5,0.7550000000000001,0.49
27,0.64,0.618,0.565,0.545,0.553,0.5599999999999999,0.68,0.65,0.6300000000000001,0.6599999999999999,0.5549999999999999,0.515,0.508,0.4925,0.495,0.55,0.585,0.5549999999999999,0.615,0.6
28,0.3299999999999999,0.3819999999999999,0.426,0.428,0.424,0.61,0.44,0.29,0.38,0.42,0.39,0.4525,0.4755,0.4865,0.4935,0.6,0.42,0.44,0.4049999999999999,0.525
29,0.99,0.938,0.8859999999999999,0.867,0.774,0.98,1.0,0.89,0.99,0.8099999999999999,0.96,0.7475,0.6509999999999999,0.6154999999999999,0.5325,0.925,1.0,0.655,0.865,0.5
30,0.45,0.4269999999999999,0.4429999999999999,0.4369999999999999,0.3379999999999999,0.2699999999999999,0.43,0.4,0.4699999999999999,0.45,0.38,0.469,0.473,0.4805,0.494,0.4,0.445,0.49,0.45,0.445
31,0.8300000000000001,0.74,0.7040000000000001,0.7340000000000001,0.68,0.76,0.94,0.77,0.74,0.6799999999999999,0.745,0.6045,0.5579999999999999,0.5185,0.535,0.645,0.875,0.5,0.6849999999999999,0.44
32,0.96,0.93,0.862,0.8370000000000001,0.7140000000000001,0.86,0.91,0.86,0.96,0.92,0.86,0.654,0.585,0.5635,0.529,0.805,0.875,0.5,0.8099999999999999,0.5
33,0.72,0.669,0.597,0.622,0.555,0.8400000000000001,0.8300000000000001,0.63,0.7,0.63,0.655,0.569,0.5325,0.5405,0.489,0.72,0.76,0.5,0.675,0.5
