subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
93,0.86,0.7595000000000001,0.677,0.6895,0.6154999999999999,0.8699999999999999,0.89,0.76,0.78,0.79,0.78,0.5885,0.5215,0.52,0.526,0.825,0.79,0.7,0.625,0.5700000000000001
94,0.77,0.595,0.451,0.506,0.5045000000000001,0.93,0.99,0.7,0.51,0.3099999999999999,0.745,0.5329999999999999,0.4614999999999999,0.476,0.4785,0.885,0.95,0.635,0.52,0.475
95,0.36,0.414,0.39,0.4335,0.4454999999999999,0.6599999999999999,0.39,0.38,0.43,0.4999999999999999,0.42,0.4825,0.4835,0.4955,0.5015,0.615,0.39,0.5,0.415,0.5349999999999999
96,0.54,0.4579999999999999,0.498,0.4629999999999999,0.449,0.42,0.45,0.36,0.55,0.45,0.49,0.485,0.5045000000000001,0.499,0.49,0.44,0.465,0.425,0.475,0.4549999999999999
97,0.6900000000000001,0.5920000000000001,0.515,0.486,0.4589999999999999,0.75,0.75,0.54,0.6799999999999999,0.585,0.625,0.4895,0.5095000000000001,0.51,0.502,0.7,0.6950000000000001,0.58,0.525,0.5
98,0.6900000000000001,0.5579999999999999,0.474,0.539,0.481,0.5700000000000001,0.75,0.74,0.6,0.49,0.655,0.522,0.514,0.5015,0.509,0.53,0.67,0.595,0.51,0.505
99,0.4,0.4529999999999999,0.4825,0.474,0.4425,0.48,0.3799999999999999,0.44,0.41,0.6,0.4349999999999999,0.494,0.497,0.5085000000000001,0.4805,0.5,0.39,0.505,0.5,0.545
100,0.4666666666666667,0.495625,0.49625,0.5116666666666666,0.449375,0.1999999999999999,0.45,0.5791666666666667,0.5166666666666667,0.5416666666666667,0.4833333333333333,0.5091666666666667,0.4925,0.4925,0.5116666666666666,0.3083333333333333,0.4166666666666666,0.4833333333333333,0.5,0.525
101,0.4599999999999999,0.492,0.526,0.5115,0.507,0.5599999999999999,0.48,0.575,0.4149999999999999,0.5,0.475,0.493,0.509,0.5095000000000001,0.5045000000000001,0.5549999999999999,0.45,0.525,0.5,0.53
102,0.8,0.6145,0.5369999999999999,0.513,0.525,0.72,0.86,0.6,0.72,0.8099999999999999,0.6950000000000001,0.522,0.497,0.493,0.497,0.665,0.75,0.545,0.52,0.525
103,0.6599999999999999,0.5660000000000001,0.481,0.536,0.452,0.54,0.6,0.62,0.4599999999999999,0.6900000000000001,0.615,0.49,0.4805,0.488,0.501,0.55,0.55,0.5,0.5349999999999999,0.525
104,0.705,0.59125,0.4497499999999999,0.4535,0.4375,0.595,0.54,0.74,0.53,0.5575,0.635,0.5065,0.5005,0.494,0.496,0.505,0.54,0.5650000000000001,0.53,0.58
105,0.6500000000000001,0.5635,0.492,0.4635,0.52,0.6799999999999999,0.71,0.51,0.51,0.6100000000000001,0.575,0.5005,0.498,0.5045000000000001,0.507,0.5700000000000001,0.6849999999999999,0.5549999999999999,0.505,0.5
106,0.51,0.4539999999999999,0.49,0.4589999999999999,0.475,0.58,0.63,0.51,0.525,0.5199999999999999,0.575,0.491,0.517,0.504,0.5025,0.53,0.5800000000000001,0.575,0.525,0.51
107,0.49,0.482,0.4709999999999999,0.534,0.528,0.45,0.48,0.5399999999999999,0.49,0.41,0.5,0.492,0.4975,0.5205,0.516,0.4599999999999999,0.51,0.4549999999999999,0.4599999999999999,0.4549999999999999
108,0.82,0.727,0.6615000000000001,0.613,0.627,0.79,0.93,0.6599999999999999,0.73,0.79,0.655,0.585,0.5245000000000001,0.5325,0.5075,0.63,0.85,0.53,0.5549999999999999,0.5599999999999999
109,0.47,0.4679999999999999,0.4705,0.5329999999999999,0.5115,0.3999999999999999,0.4,0.51,0.39,0.48,0.475,0.486,0.499,0.493,0.506,0.425,0.41,0.545,0.49,0.53
